Frequency(cm^-1),Intensity
-346.5760,1.8331
-250.9186,0.1347
-217.8310,0.1172
-170.9617,1.1826
-109.0053,0.0424
-86.7326,0.0601
-65.1628,0.0666
-56.7518,0.0462
38.5427,0.0748
58.8217,0.0602
81.7769,0.0685
104.9405,0.1762
120.1744,0.4879
150.0906,1.2876
174.4203,0.3683
212.3158,1.3426
216.6635,1.2758
238.6841,0.2225
251.0848,0.1454
260.2250,0.3520
264.1071,0.3327
284.7929,0.4876
299.5325,2.8722
323.3095,0.7429
334.9825,7.7030
362.7460,2.2655
383.4323,2.1376
407.7499,1.9960
426.5721,1.4875
441.1508,3.2133
476.9153,0.3524
483.0381,4.2379
519.4616,5.1256
537.2088,0.7054
554.5700,1.7299
564.3223,0.7396
582.4595,3.0243
597.0814,0.2469
615.5748,2.0258
626.0794,0.1988
647.0309,0.4148
679.6030,1.5272
688.6297,2.5112
701.8842,1.0093
728.8113,2.0285
769.4987,1.8064
834.0821,3.9010
853.2418,0.8068
874.9177,3.6949
893.0360,1.7190
938.7935,1.8565
953.7169,3.2408
978.4435,1.1253
987.9652,0.9831
1011.5506,3.4749
1018.7889,2.5090
1023.3146,2.3211
1033.2990,3.5249
1041.0567,1.2591
1072.7277,17.7272
1078.1249,1.1819
1084.3081,9.2724
1089.0927,1.5550
1094.1454,2.2228
1100.9354,4.9622
1107.7112,10.3763
1113.9142,4.6674
1131.8110,4.2354
1136.8929,4.6330
1150.0166,1.4297
1160.8890,4.2946
1169.4997,3.0436
1172.3363,1.7050
1186.3447,1.0941
1188.4758,1.8923
1201.7209,4.5497
1210.3361,1.3138
1219.8474,3.1415
1236.9710,1.4381
1251.9838,3.9302
1255.3818,2.2642
1270.1936,3.7069
1278.3296,6.6521
1290.9259,0.4217
1300.2349,2.3400
1301.7660,8.7630
1311.9622,3.5870
1318.0447,5.8933
1321.5810,1.4068
1334.7658,2.8379
1343.9131,3.4871
1355.9504,4.7375
1366.5187,12.0771
1369.3275,3.3080
1375.0961,2.0702
1380.6445,2.8521
1388.1631,7.6855
1393.4258,5.8191
1396.6946,1.5390
1400.3921,5.8012
1435.3473,7.1525
1462.6591,1.2846
1471.0798,6.4676
1481.4076,2.3280
1483.0966,3.7290
1498.9057,3.5223
1548.3843,2.6270
3256.5863,36.5795
3265.8012,45.7433
3269.5113,106.4827
3276.3672,233.9971
3278.4980,24.0906
3290.9799,50.0727
3295.5444,53.0113
3299.8843,19.1958
3303.1891,138.7518
3308.0238,16.1932
3312.1338,4.7658
3320.6309,20.4562
3326.5657,55.2887
3329.1553,56.1854
3352.0802,129.7979
3376.1834,228.1858
3384.1554,82.6937
3384.2853,199.0037
3389.5354,94.3876
3400.5380,110.1857
3908.6634,136.8307
3919.1872,124.0454
